word,weight
damaged,0.9954068241469817
damages,0.9881889763779528
damaging,0.9986876640419947
dampen,0.9986876640419947
danger,0.9927821522309711
dangerous,0.989501312335958
dangerously,0.9986876640419947
dangers,0.994750656167979
deadlock,0.9986876640419947
deadlocked,0.9993438320209974
deadlocks,0.9986876640419947
deceased,0.9973753280839895
deceit,0.9980314960629921
deceived,0.9980314960629921
deceiving,0.9986876640419947
deception,0.9980314960629921
deceptive,0.9954068241469817
deceptively,0.9993438320209974
decline,0.9389763779527559
declined,0.9960629921259843
declines,0.9724409448818898
declining,0.9927821522309711
defamation,0.9980314960629921
defamatory,0.9993438320209974
default,0.9908136482939632
defaults,0.9973753280839895
defeat,0.9875328083989501
defeating,0.9986876640419947
defeats,0.9921259842519685
defect,0.9829396325459318
defective,0.994750656167979
